,message,appealing
890,Immer schön Eis nach dem anderen!,0.699780721043668
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.6379501936170501
257,"Vielfalt schmeckt besser als Einfalt. Wer das genauso sieht, darf sich auf eine neue Sorte Ben & Jerry’s freuen. Was da drin ist, erfahrt ihr hier...",0.6315029229830204
170,Feiner Schachzug. In Zukunft gibt es dann nur noch geschmolzenes Gletschereis.,0.6245940180336765
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.6118428759862087
247,"Was die Welt und ein Becher Ben & Jerry's gemeinsam haben? Je bunter, desto schöner.",0.6083010888547112
249,Weil die Welt mehr als nur einen Geschmack braucht.,0.6075379664170649
404,Das Einzige was leckerer ist als ein 'Wich: Drei 'Wich.,0.6027248483666493
400,Uns schmeckt jede Liebe!,0.5965468473938821
176,Liebe schmeckt jedem anders.,0.5965468437991668
1138,Tadaaaaaa. Mit stolzgeschwellter Brust und bereits gezücktem Löffel präsentieren wir unsere 3 Neuen…,0.5839948589497796
1191,"Passend zum gestrigen World Environmetal Day, stellen wir euch heute unseren Fair-Flavour-Kandidaten One Sweet Whirld vor, welcher ursprünglich in den USA zur Unterstützung von Umweltgruppen eingeführt wurde. Köstliche Kaffee- und Karamell-Eiscreme passen in unserer Welt zusammen wie Romeo und Julia. Und weil Marshmellows in keinem Eis fehlen dürfen, gibt es die noch oben drauf. Versüßt auch ihr euch eure Welt und gebt gleich hier eure Stimme ab! http://on.fb.me/mJzhmI",0.577078575528496
481,Immer schön Teilen!,0.5752319402420794
229,"Wir finden, Eisliebe ist einfach zum Dahinschmelzen.",0.5752257231056619
1155,"PEACE, Love & geschmolzene Ice Cream… Letzte Woche waren wir in Berlin auf dem World Peace Festival und haben uns mit spannenden Menschen darüber ausgetauscht was wir tun müssen, um die Welt zu einem friedlicheren Ort zu machen. Unser starkes Engagement in Fairtrade sowie die klimaneutrale Produktion sind nur ein kleiner Beitrag hierzu.  Als kleines Extra hatten wir speziell für das Festival eine eigene Sorte kreiert – Imagine Whirled Peace! (Cookie Dough mit Schokoladen - Pe...acezeichen). Leider hat jemand den Klimaschutz etwas zu ernst genommen und nachts unsere Eistruhe ausgesteckt.  Friede fängt oft schon mit so kleinen Dingen wie einem freundlichen Lächeln oder einem kurzen Dankeschön an. Was macht Ihr im Alltag, um die Welt ein bisschen zu verbessern? See more",0.5749958756530782
