,message,career
1245,"Wenn Du nicht nur der weltgrößte Fan von Ben & Jerry's bist, sondern Dich auch im fortgeschrittenen BWL Studium mit Schwerpunkt Marketing befindest UND Lust hast unser Team im Rahmen eines Praktikums zu unterstützen dann bewirb Dich unter www.unilever-karriere.de !!",0.6730574967336646
670,"BIST DU DER NÄCHSTE BEN & JERRY´S? Du bist Jungunternehmer, setzt dich mit deinem Start-Up-Unternehmen für einen positiven Wandel in der Gesellschaft ein und bist zugleich wirtschaftlich erfolgreich? Bewirb dich jetzt und gewinne10.000 € + Logo auf der nächsten Ben & Jerry´s Sorte und und und... ➡ www.benjerry.de",0.5393689459050265
1221,"Hilfe! Das Ben & Jerry’s Team braucht deine Unterstützung! Gesucht wird ein ausgewiesener Ben & Jerry’s Fan (Empfehlungsschreiben zwingend notwendig) der darüber hinaus BWL mit Schwerpunkt Marketing studiert. Wenn diese Beschreibung auf dich zutrifft, dann bewirb dich bitte hier: https://recruitment.unileverservices.com/…/careerportal/Job…",0.5166859026035158
661,Über 1/3 der Menschen in Deutschland sind ehrenamtlich engagiert. Willst du DEIN Engagement zum Beruf machen? Bewirb dich jetzt als Nachwuchs-Sozialunternehmer ➡ www.benjerry.de,0.5109232350904898
990,"Auch direkt bei Ben&Jerry´s haben europaweit Nachwuchs-Sozialunternehmer die Chance auf 10.000€ und ein sechsmonatiges Business-Coaching von Ashoka, ein Trip in die Ben & Jerry’s Heimat Vermont als besonderen Clou werden die Firmenlogos der Jung-Unternehmer auf der neuen Ben & Jerry’s Sorte in 2014 abgebildet – ein echtes Privileg und ein einzigartiger Werbeeffekt!",0.4942669261789086
147,Bei uns nimmt man sich gerne Arbeit mit nach Hause.,0.4746523822273637
638,Wir lassen unseren Abfall für uns arbeiten! Erfahre mehr dazu ➡ www.benjerry.de/blog/wie-wir-energie-machen,0.39728065217066544
648,Wir sorgen uns um das Wohlbefinden unserer (wichtigsten) Mitarbeiter - den Kühen! Kuhle Sache dieses Caring Dairy ➡ bit.ly/CaringDairy #happycow #socialmission #benandjerry,0.3952852189083027
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.39343763399726783
587,Unterstütze unsere Gewinner nearBees - Honig von Nebenan  und GreenLab Berlin beim Crowdfunding! Diese Leute haben coole Firmen am Start. Sie brauchen eure Hilfe! Jeder Cent zählt! Macht mit! Mehr Info auf http://benjerrys.co/1dotAKQ,0.3887743477803307
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.3863203902122507
210,Traumjob zu vergeben: Eistester/in in Vollzeit gesucht!  Keine Lust auf Kaffee kochen und kopieren? Dann werde doch einfach Praktikant/in bei uns und teste neue Eissorten. benjerrys.co/praktikumsplatzanderquelle,0.3827106910013142
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.3657054880799327
177,So machst Du Deutschland vom Sofa aus gerechter: In wenigen Schritten für eine faire Gesellschaft.,0.3583036625146929
658,Wir packen mit an! Das Ben & Jerry's Melting Pint Team unterstützt soziale Projekte... und kann jede Hilfe gebrauchen! -- ➡ bit.ly/MeltingPint,0.3504071794100851
