,message,evaluating
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.5707544644761765
588,"Schaut mal, was für einen Unterschied 2° Grad ausmachen. Helft mit auf benjerry.de/klima! #klimaschutz",0.5426671082611823
1002,Wofür würdet ihr euch entscheiden? :),0.5106362534001279
1014,"Und? Schon eine Vermutung, was euch in 4 Tagen erwartet?",0.5021371210081862
1240,"Danke für Eure Hilfe bei der Abstimmung... Ausgewertet, sieht das Ranking so aus: 1. Platz A; 2: E, 3:D, 4:B, 5: Volker, 6: C... Da machen wir doch was draus... Ergebnis demnächst hier...",0.4767671787588346
246,Die inneren Werte zählen.,0.4755792484496187
891,Ab 25°C zählen nur noch die inneren Werte!,0.4755792470097488
223,2016 hat nicht jedem geschmeckt. Aber es gab auch viel Positives zu vermelden!,0.4687040156858578
75,Nicht nur beim Eis zählen die inneren Werte.,0.4682150719740937
82,Könnte man teilen. So rein theoretisch.,0.4645660816125625
593,"Schon die neuen Cookie Cores probiert? Dann hilf auch anderen, unsere neuen Sorten zu finden! Einfach Ort und Sorte im Shop Finder eingeben. Teilen lohnt sich!",0.4601784047741195
1207,"Ihr fragt uns immer wieder, warum wir so viele der großartigen US-Sorten nicht hier haben. Berechtigt und natürlich nicht FAIR von uns! Aber wer weiß, vielleicht finden wir ja jetzt eine Möglichkeit... Welche hättet ihr denn am liebsten?",0.4586293848785696
1253,Im Februar bekommen wir Besuch von unseren Firmengründern Ben Cohen & Jerry Greenfield! Sicherlich habt Ihr Millionen Fragen & sagt uns doch einfach was wir klären sollen!,0.4532926568678118
1204,"Und auch Euch Peanut Butter-Fans sind wir eine Antwort schuldig: Leider mussten wir uns aufgrund der Verfügbarkeit der Fairtrade-Zutaten bereits vor einiger Zeit auf die 8 Sorten festlegen, die als Endrunden-Teilnehmer in unser Fair Flavour Voting kommen.",0.4467686127259965
366,Ihr durftet wählen und jetzt habt ihr entschieden. Klickt hier um zu sehen welche Filme wir bei den benjerry.de/movienights zeigen!,0.4465320547021137
