,message,extroverted
1230,"Hey liebe Leute!  Wir haben noch einmal eine kleine Frage an Euch:  Was für Infos wünscht Ihr Euch eigentlich von unserer Facebook-Seite?  Was würdet Ihr hier gerne von uns hören?  Wir würden Euch natürlich am liebsten von Themen erzählen, die Euch auch besonders interessieren.... Euch allen ein sonniges und vor allem erholsames Wochenende! See more",0.5002624302187946
257,"Vielfalt schmeckt besser als Einfalt. Wer das genauso sieht, darf sich auf eine neue Sorte Ben & Jerry’s freuen. Was da drin ist, erfahrt ihr hier...",0.4557001487396557
147,Bei uns nimmt man sich gerne Arbeit mit nach Hause.,0.4490093410288461
1148,"Vielen, vielen Dank für die unfassbar vielen Vorschläge, die ihr uns bei Fair Place! bereits gemacht habt! Ihr seid die besten Fans der Welt!!! Bitte schlagt uns vor allem all die tollen, coolen, anderen Läden in Eurer Stadt vor, die wir nicht kennen können, die aber unglaublich gut zu uns passen würden - wo seid ihr gerne unterwegs? wo würdet ihr gerne ein leckeres Ben & Jerry's essen? Beim Friseur Eures Vertrauens? Bei Eurem Lieblingskiosk? In Eurer Lieblingsbar? Eure Supermärkte rollen wir ohnehin nach und nach von hinten auf, keine Sorge ;-) und falls ihr jetzt noch richtig geile Vorschläge habt oder neu mitmachen wollt: HIER: https://apps.facebook.com/fair-place/",0.4228457313817529
1233,"Sagt alle mal Hallo zu unserem 3000. Fan!  Wir freuen uns wirklich sehr, dass mittlerweile so viele unsere Vorliebe für wunderbares Eis teilen. Danke an Euch :)",0.4161936628149708
1036,"Lust auf Kino oder nur auf´s Sofa ? Aber sicher ist ein leckeres Ben&Jerrys dabei ? Oder ? Dann gebt uns ein ""Gefällt mir"" - Danke",0.4150940734803804
309,"Hallo München! Bevor wir Dienstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.4144744709370823
1248,Wir wünschen Euch allen ein kuhles Wochenende mit gaaannnzzz viel leckerem Eis <3,0.41215640351108335
1231,"Hallo liebe Ben&Jerry's Fans! Wie Ihr wisst ist es uns wichtig, dass es um uns herum FAIR zugeht. Was findet Ihr denn eigentlich alles so UNFAIR? Lasst Eurer Kreativität mal freien Lauf :)",0.4095512621448281
315,"Hallo Stuttgart! Bevor wir Samstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.4094231619712691
521,So schön war unser Tourfinale in Berlin! Danke www.andykacze.com für die tollen Bilder! Wir freuen uns auf nächstes Jahr!!,0.4089912313943798
1050,Heute besuchen wir unsere glücklichen Kühe! Habt ihr irgendwelche Fragen an sie?,0.4045867008818352
328,"Hallo Dresden! Bevor wir Freitag Abend faires Eis verschenken versuchen wir mit euch gemeinsam, eure Stadt minimal schöner zu machen.",0.4029559671024753
1244,"Damit unsere Seite nicht so leer bleibt und schnell mit Leben gefüllt wird, freuen wir uns über Eure Fotos von Eurem schönsten und kuhlsten Ben & Jerry's Moment:-)",0.4001349022378217
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.3982847979495528
