,message,female
456,Ich bin dein Vater!,0.6888654844916386
853,"Die einzigen Männer, die Frauen wirklich verstehen sind Ben & Jerry.",0.6458152434324497
185,"Verliebt, verlobt, verhei....schön wärs!",0.5886780383526212
1059,"Eis, Eis, Baby! Heute machen wir in Hannover Freundinnen Tag und verschenken nur rosa-rote Eisbecher. Der Fairness halber gibt’s für die Jungs was in Blau! Sagt uns wo: www.FairIceTour.de oder findet uns auf dem Liveticker.",0.577723168744442
262,Süße Liebe hat viele Namen <3,0.5451748588237987
104,Morgen Kinder wird’s was geben….,0.5451611714277975
455,Ich liebe dich. Ich weiß.,0.5432419350718084
1167,"Hallo Bochum! Hallo Ruhrpott! Heute gibt’s für Euch Fairtrade Eis für lau! Und die schönsten Mädchen der Welt trifft man eh bei uns am Bus. Alle Infos, wo wir heute wann halten gibt’s hier http://on.fb.me/FairIceTour  Ps. Die schönsten Jungs auch ☺",0.5424750203998429
309,"Hallo München! Bevor wir Dienstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.523059977590551
792,Eine Portion Liebe für Mama <3,0.5167381542680591
209,Manchmal schmeckt Erwachsen sein gar nicht süß.,0.5066906637139033
315,"Hallo Stuttgart! Bevor wir Samstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.4986930110921376
1030,"Zwei Kerle eine Leidenschaft !! Wenn Ihr wissen wollt, wie die Geschichte von Ben & Jerry begann - hier unser Geschenktip für Euch!",0.4986739069523039
207,Ein Bissen Liebe zum Weltfrauentag!,0.4968753153819057
261,Unsere Mitarbeiterin des Monats heißt Erna und ist ziemlich kuhl.,0.4962543539398995
