,message,flavor
1217,"Heute wollen wir euch exklusiv unsere neue Sorte für 2011 vorstellen: Coconutterly fair, das ist Cremige Schokoladeneiscreme mit einem Kokosnuss-Karamell-Strudel und knusprigen Karamell-Kokosnuss-Stückchen!",0.6218183388743952
50,So klein und schon so lecker.,0.6086688888558346
429,Schmeckt wie frisch gepflückt.,0.6067486827349916
1215,"Aufgepasst Eisliebhaber! Ab sofort ist das neue Ben & Jerry’s Wich erhältlich! Das Wich ist cremiges Vanilleeis mit Schokoladen-Stücken zwischen zwei saftigen Chocolate Chunk Cookies. Und wie es sich für Ben & Jerry’s gehört, ist das Wich natürlich auch Fairtrade! Wir sind gespannt wie es euch schmeckt...?",0.6006542977128688
404,Das Einzige was leckerer ist als ein 'Wich: Drei 'Wich.,0.5952316190472814
209,Manchmal schmeckt Erwachsen sein gar nicht süß.,0.5869380575325861
400,Uns schmeckt jede Liebe!,0.5868389077562178
176,Liebe schmeckt jedem anders.,0.5868389058609746
819,"Am besten schmecken Brownies gekühlt, oder?",0.5766893799082873
402,'Wich kannst du auch mit dem Löffel essen. Ist dann nur irgendwie komisch.,0.5691422652380771
655,Heiße Schokolade - jetzt auch in kalt.,0.565055136561411
1195,"Kokosnussfans aufgepasst! Unser heutiger Fair-Flavour-Kandidat Coconut Almond Fudge Chip ist eine Welt für sich. Kokosnuss-Eiscreme mit Schokostückchen klingt schon köstlich. Aber die gerösteten Mandeln machen diese Sorte einfach unwiderstehlich. Wer nicht für diesen Flavour votet, hat wahrscheinlich einen an der Kokosnuss! http://on.fb.me/mJzhmI",0.5551887333280743
483,"Vorsicht: Nicht erschrecken, wie lecker Ben & Jerry’s Cinnamon Buns schmeckt!",0.5505012204707753
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.5504376905542979
1036,"Lust auf Kino oder nur auf´s Sofa ? Aber sicher ist ein leckeres Ben&Jerrys dabei ? Oder ? Dann gebt uns ein ""Gefällt mir"" - Danke",0.5468771340396528
