,message,functionality
435,Schokotöne sind ja gerade voll im Trend.,0.3543385295367005
189,Harte Schale weicher Kern.,0.3446840089295393
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.3342677603198747
891,Ab 25°C zählen nur noch die inneren Werte!,0.3135623835975424
246,Die inneren Werte zählen.,0.3135623810024081
75,Nicht nur beim Eis zählen die inneren Werte.,0.3058802477797181
108,Cooler als jeder Trend: unsere 12 ältesten Sorten.,0.2955712063911799
1052,Wir sind Viele! 300.000 Wow! Nutzt diese Power für das Wohl der Kühe: www.happycows.eu/de Das passende Produkt gibt’s ab sofort!,0.29534198782207816
649,"Unsere Finalisten stehen fest! Bettervest und Foodloop fahren für uns nach London zum ""Bist Du der nächste Ben & Jerry's"" Finale! #joinourcore ---- Mit diesen fairen Start-Up Ideen haben sie uns überzeugt: FoodLoop ➡ bit.ly/Foodloop Bettervest ➡ benjerrys.co/1x2QHAc",0.2894257534023281
30,Topped deine Erwartungen. Garantiert.,0.28755196595900023
518,Der Beweis: Auch in Hollywood zählen noch die inneren Werte.,0.2825384448876933
990,"Auch direkt bei Ben&Jerry´s haben europaweit Nachwuchs-Sozialunternehmer die Chance auf 10.000€ und ein sechsmonatiges Business-Coaching von Ashoka, ein Trip in die Ben & Jerry’s Heimat Vermont als besonderen Clou werden die Firmenlogos der Jung-Unternehmer auf der neuen Ben & Jerry’s Sorte in 2014 abgebildet – ein echtes Privileg und ein einzigartiger Werbeeffekt!",0.2775606049635764
827,"Die fairste Form der Kernspaltung: Der neue Ben & Jerry's Core ""All Or Nut-ting"" ist ab sofort erhältlich!!!",0.27442237803814296
208,Wir bleiben cool in Sachen Klima.,0.2730637911391721
670,"BIST DU DER NÄCHSTE BEN & JERRY´S? Du bist Jungunternehmer, setzt dich mit deinem Start-Up-Unternehmen für einen positiven Wandel in der Gesellschaft ein und bist zugleich wirtschaftlich erfolgreich? Bewirb dich jetzt und gewinne10.000 € + Logo auf der nächsten Ben & Jerry´s Sorte und und und... ➡ www.benjerry.de",0.2628151585137895
