,message,funny
269,Eure 25 verrücktesten Sortenvorschläge.,0.6203074265477371
402,'Wich kannst du auch mit dem Löffel essen. Ist dann nur irgendwie komisch.,0.5610950014985426
148,"Ohne Witz, das ist da wirklich alles drin. Glaubst du nicht? Dann probiere jetzt das neue Topped.",0.5387957062389227
612,Dumme Kuh!? Von wegen!,0.5307822753850812
876,Genug ist genug ist Quatsch.,0.5247359103212856
275,Irgendwie süß die beiden!,0.5226115633385886
209,Manchmal schmeckt Erwachsen sein gar nicht süß.,0.5175330957466439
93,Wir nehmen (fast) alles mit einem Löffel Humor.,0.5047842764031315
238,Oh Dough Fröhliche!,0.4996677487623927
1158,"Nur HEUTE in BREMEN gibt es ausnahmsweise 5 Bremer Stadtmusikanten! Hahn, Katze, Hund, Esel und Woody, die Ben & Jerry’s Kuh. Und dazu den ganzen Tag am Werdersee Free Fairtrade Ice! Ihr glaubt’s nicht? Dann kommt einfach vorbei und probiert’s selbst und macht auch Ihr die Welt Löffel für Löffel ein bisschen besser. Wir freuen uns auf Euch! Bis gleich! Alle Infos und wo genau wir am Werdersee stehen gibt’s hier: http://on.fb.me/FairIceTour",0.4938020891296886
1233,"Sagt alle mal Hallo zu unserem 3000. Fan!  Wir freuen uns wirklich sehr, dass mittlerweile so viele unsere Vorliebe für wunderbares Eis teilen. Danke an Euch :)",0.4846825885140225
1229,"Das sind doch mal echte Fans, oder was meint Ihr!? Könnt Ihr auch ein Lied über Ben & Jerry's singen? ;)",0.4831095309846249
615,Scherzkeks. #cookiedough,0.4740703571154921
1230,"Hey liebe Leute!  Wir haben noch einmal eine kleine Frage an Euch:  Was für Infos wünscht Ihr Euch eigentlich von unserer Facebook-Seite?  Was würdet Ihr hier gerne von uns hören?  Wir würden Euch natürlich am liebsten von Themen erzählen, die Euch auch besonders interessieren.... Euch allen ein sonniges und vor allem erholsames Wochenende! See more",0.472923925192296
1137,"Schade, dass heute nicht der 11.11. ist...ihr seid jetzt 111.111- grandios, wir sagen ""Vielen Dank"" und setzen unserer Kuh zur Feier trotzdem die  rote Pappnase auf!",0.468526244074058
