,message,healthy_positive
878,Unsere Empfehlung für eine ausgeglichene Ernährung:,0.4404981415694496
504,"Chunky Monkey ohne Nüsse? Schlimm! Nussbäume brauchen den Winter, damit sie Früchte tragen. Aber die Winter werden immer milder. Wie der Klimawandel unsere Sorten gefährdet, erfährst du hier: benjerrys.co/1iq2llR",0.43164556751382416
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.4004238352707904
1232,"Heute ist der internationale Tag der Milch und auch gleichzeitig Weltbauerntag.  Unsere gute Milch ist ein entscheidender Grund, warum Ben & Jerry's so lecker schmeckt. Daher achten wir ganz besonders darauf, dass es unseren Kühen und aber auch unseren Milchbauern gut geht! Wenn Ihr wissen wollt, wie wir das machen, dann findet Ihr hier mehr über das ""Cairing Dairy"" Programm:",0.3916404760935557
505,"Wir lieben Schokolade. Aber Erderwärmung bedeutet das Ende unserer Schokostücke! Wie der Klimawandel unsere Sorten gefährdet, erfährst du hier: benjerrys.co/1iq2llR",0.3911497467521113
819,"Am besten schmecken Brownies gekühlt, oder?",0.3703583298609354
249,Weil die Welt mehr als nur einen Geschmack braucht.,0.370103265357196
485,Wichtig zur kalten Jahreszeit: viel Obst!,0.3669014981551119
404,Das Einzige was leckerer ist als ein 'Wich: Drei 'Wich.,0.36079951606054655
794,Unser Beitrag zum Anti-Diät-Tag.,0.3600840133512309
648,Wir sorgen uns um das Wohlbefinden unserer (wichtigsten) Mitarbeiter - den Kühen! Kuhle Sache dieses Caring Dairy ➡ bit.ly/CaringDairy #happycow #socialmission #benandjerry,0.35163261807778995
1195,"Kokosnussfans aufgepasst! Unser heutiger Fair-Flavour-Kandidat Coconut Almond Fudge Chip ist eine Welt für sich. Kokosnuss-Eiscreme mit Schokostückchen klingt schon köstlich. Aber die gerösteten Mandeln machen diese Sorte einfach unwiderstehlich. Wer nicht für diesen Flavour votet, hat wahrscheinlich einen an der Kokosnuss! http://on.fb.me/mJzhmI",0.3472280102468379
75,Nicht nur beim Eis zählen die inneren Werte.,0.3423485042518116
424,"Für alle, die auf Bananen stehen.",0.3341173957109393
1242,"Muh zusammen! Wir brauchen mal Eure Hilfe... Wie Ihr wisst, arbeiten wir daran, unser gesamtes Eis auf Fairtrade umzustellen. Das heisst: Vanille, Zucker, Nüsse, Bananen und Kakao für unser Eis und die RIESENSTÜCKCHEN kommen jetzt aus fairem Handel. Wie findet Ihr das eigentlich? Mal ganz ehrlich...",0.3325242543006277
