,message,new
627,Frohes Neues!,0.7312809469492026
811,Wird Zeit für einen neuen Mitbewohner...,0.723691281308509
1138,Tadaaaaaa. Mit stolzgeschwellter Brust und bereits gezücktem Löffel präsentieren wir unsere 3 Neuen…,0.7035049188295004
500,Heute testen wir für euch schon mal die neuen Sorten für 2016,0.6742829943212487
284,Wir haben das Rad neu erfunden.,0.6558098366553065
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.6255037272041405
140,Minimalismus war noch nie unser Ding. Merkt ihr selber! Zum Beispiel wenn ihr unser neues Topped probiert.,0.6109975316960703
1031,"Der erste Löffel aus einem neuen Pint Ben&Jerry´s - mindestens so schön wie der erste Schritt auf Neuschnee, oder?!",0.5932619524744028
513,Für unsere neuen Cookie Core Sorten müsst ihr nicht in die Zukunft fahren. Nur in den nächsten Supermarkt.,0.5889937872586332
422,Für unsere neue Erfindung musst du Eis essen völlig neu erlernen!,0.5880151670406762
980,Das müsst ihr jetzt selber auslöffeln! Im Juni schenken wir euch die neuen Ben & Jerry's Cores. Teilen lohnt sich!,0.5869640622336442
132,Ein exklusiver Blick in dein neues Lieblingseis. Ben & Jerry's Eis überzogen von einer extra Schicht Fudge-Topping.,0.5784142723211579
593,"Schon die neuen Cookie Cores probiert? Dann hilf auch anderen, unsere neuen Sorten zu finden! Einfach Ort und Sorte im Shop Finder eingeben. Teilen lohnt sich!",0.5565449063489221
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.5050249670667245
108,Cooler als jeder Trend: unsere 12 ältesten Sorten.,0.498301881177137
