,message,sport
317,Eis ab. Film läuft! Am 20. Juli ab 19 Uhr am Kölner Renn-Verein 1897 e.V. (Galopprennbahn Weidenpesch). Wir bringen leckeres Eis und coole Filme mit! Die Ben & Jerry's Movie Nights - umsonst und draußen. Mehr Infos auf benjerry.de/movienights,0.29916877216124715
91,Was geht richtig Cup? Unser neues Peanut Butter Cup 'Wich! benjerrys.co/2sd1yhp,0.2780104413050203
855,Da würden wir jetzt am liebsten reinspringen!  In den Pool auch.,0.2759249557893845
859,Auf eine schönere Welt: Peanut Butter Cup.,0.2747149235143768
861,DAS NUSS LIEBE SEIN. NEU: PEANUT BUTTER CUP.,0.25558064590572616
40,Vatertag-Goals!  Bollerwagen kann jeder. Happy Vatertag :-),0.2433270186745381
272,Familienausflug,0.2432434261004377
1262,Das Cowmobile am Strand in Kalifornien,0.23971959394911185
552,Unser Lieblingsfilm! Am 6. Juli bringen wir leckeres Eis und coole Filme nach Hannover ins Strandleben. Umsonst & draußen! Alle Infos hier: www.benjerry.de,0.2323848438807589
355,Cookie Dope. Unser Lieblingsfilm diesen Sommer.,0.2274916874082546
364,Das Must-Have Sommer-Accessoire: Peanut Butter Cup!,0.2271036623688164
701,"Wir präsentieren: Das erste Ben & Jerry’s mit Musikgeschmack! Am 6.8. verschenken wir faires Eis von 13-19 Uhr in der Arena Berlin, in der Eichenstraße. Alle Infos zum Event auf benjerry.de",0.22164816598324544
682,Heute verschenken wir Eis in Leipzig! Von 14-20h an der Skatehalle Heizhaus Leipzig! hEIS: Shannon Saunders spielt Live!,0.2168060623825585
501,Wochenende!,0.21559654567496414
1035,"Der Schnee kommt....und kann so schön sein! Pünktlich zum ersten Advent ist er da - der Schnee. In den Wintersportgebieten heißt es wieder ""Ski und Rodel gut"" - in Ischgl wird am Wochenende zu Beispiel das große Skiopening gefeiert. Aber auch bei uns steht das erste Wochenende mit Glühwein und Weihnachtsmarkt an Seid Ihr dabei ?",0.21241074464940415
